PROKKA_ERR688570_31868_SZAXPI021666-33_bin.3.faa_OKHIIHLC_00109	-	359	IPR010866_auto	-	428	3.1e-17	57.4	1.4	1	1	1.1e-19	3.5e-17	57.2	1.4	36	318	1	303	1	356	0.60	hypothetical	protein
PROKKA_ERR688642_531352_SZAXPI021718-21_bin.5.faa_EODFHOCK_01519	-	324	IPR010866_auto	-	428	7.2e-26	88.3	1.9	1	1	4.7e-29	8.3e-26	88.1	1.9	37	317	3	293	1	318	0.64	hypothetical	protein
PROKKA_ERR688611_530297_SZAXPI021928-84_bin.22.faa_KIGHIBBN_00686	-	182	IPR010866_auto	-	428	8.5e-05	19.4	0.3	1	1	5.1e-08	0.00013	18.8	0.1	205	265	27	103	5	127	0.75	Histidine	biosynthesis	bifunctional
PROKKA_ERR688576_31875_SZAXPI021654-123_bin.60.faa_MDBNHOHO_02047	-	361	IPR010866_auto	-	428	4.9e-14	49.7	0.6	1	1	2.7e-17	6.4e-14	49.4	0.6	36	308	7	325	1	326	0.47	hypothetical	protein
PROKKA_ERR688507_31021_SZAXPI022043-90_bin.80.faa_EMGECJIA_01273	-	369	IPR010866_auto	-	428	1.1e-14	51.7	0.0	1	1	6.2e-18	1.3e-14	51.5	0.0	37	341	4	333	1	365	0.59	hypothetical	protein
PROKKA_ERR688623_530450_SZAXPI021950-20_bin.14.faa_CEBMPBIO_01564	-	135	IPR010866_auto	-	428	0.0018	14.7	0.0	1	1	9.4e-07	0.0019	14.6	0.0	246	333	18	100	6	128	0.73	UDP-N-acetylmuramate--L-alanine	ligase
PROKKA_ERR688605_530215_SZAXPI022070-39_bin.36.faa_AGNAJDJE_03371	-	381	IPR010866_auto	-	428	3.5e-24	83.7	3.9	1	1	1.1e-27	4e-24	83.5	3.9	39	331	22	345	1	377	0.59	hypothetical	protein
PROKKA_ERR688575_31874_SZAXPI021632-21_bin.8.faa_JMAKGBOH_00189	-	503	IPR010866_auto	-	428	5.1e-11	40.7	0.0	1	1	3.1e-14	6.9e-11	40.2	0.0	134	315	217	469	124	488	0.61	hypothetical	protein
PROKKA_ERR688575_31874_SZAXPI021632-21_bin.8.faa_JMAKGBOH_02646	-	309	IPR010866_auto	-	428	3.2e-10	38.0	0.0	1	1	1.8e-13	3.9e-10	37.7	0.0	144	316	38	276	3	301	0.59	hypothetical	protein
PROKKA_ERR688613_530323_SZAXPI021952-23_bin.21.faa_BNNGKBCN_00394	-	363	IPR010866_auto	-	428	4.4e-18	63.1	0.8	1	1	2.2e-21	5.2e-18	62.8	0.8	36	331	1	320	1	360	0.61	hypothetical	protein
