PROKKA_ERR688508_31030_SZAXPI021937-109_bin.35.faa_OPLHFOLM_01583	-	359	neuS_final_auto	-	386	0.0051	12.9	0.4	1	2	8.1e-06	0.015	11.4	0.2	37	161	4	156	1	221	0.72	N,N'-diacetylbacillosaminyl-diphospho-undecaprenol	alpha-1,3-N-acetylgalactosaminyltransferase
PROKKA_ERR688508_31030_SZAXPI021937-109_bin.35.faa_OPLHFOLM_01583	-	359	neuS_final_auto	-	386	0.0051	12.9	0.4	2	2	0.023	44	-0.0	0.0	323	363	221	306	169	348	0.66	N,N'-diacetylbacillosaminyl-diphospho-undecaprenol	alpha-1,3-N-acetylgalactosaminyltransferase
PROKKA_ERR688604_530185_SZAXPI021722-32_bin.42.faa_BPFPOCJF_02051	-	168	neuS_final_auto	-	386	3.2e-23	79.8	0.0	1	1	2.7e-26	3.5e-23	79.7	0.0	183	341	2	167	1	168	0.82	hypothetical	protein
PROKKA_ERR688604_530185_SZAXPI021722-32_bin.42.faa_BPFPOCJF_02050	-	264	neuS_final_auto	-	386	1.4e-07	28.4	0.0	1	1	1.4e-10	1.8e-07	28.0	0.0	47	141	135	256	120	261	0.81	hypothetical	protein
PROKKA_ERR688630_530743_SZAXPI021933-93_bin.36.faa_PANMPFIH_02073	-	367	neuS_final_auto	-	386	1.5e-33	113.7	4.6	1	1	7.9e-37	1.8e-33	113.4	4.6	7	299	5	331	1	344	0.81	hypothetical	protein
PROKKA_ERR688595_530075_SZAXPI022052-129_bin.45.faa_KHNBLEHD_01433	-	331	neuS_final_auto	-	386	0.044	11.8	0.1	1	1	1.6e-05	0.059	11.4	0.1	129	258	67	213	62	213	0.72	Oligopeptide	transport	ATP-binding
PROKKA_ERR688595_530075_SZAXPI022052-129_bin.45.faa_KHNBLEHD_07245	-	307	neuS_final_auto	-	386	0.084	10.9	0.0	1	1	2.8e-05	0.1	10.6	0.0	289	346	141	203	136	283	0.71	Thioredoxin	reductase
PROKKA_ERR688623_530450_SZAXPI021950-20_bin.8.faa_NAJGIGHF_00100	-	369	neuS_final_auto	-	386	1.2e-29	100.1	0.0	1	1	1.1e-32	1.4e-29	99.9	0.0	10	320	5	313	1	360	0.81	hypothetical	protein
PROKKA_ERR688553_31549_SZAXPI021663-23_bin.9.faa_PHCKECBJ_00672	-	396	neuS_final_auto	-	386	2.7e-25	86.7	35.0	1	1	1.3e-28	3.3e-25	86.4	35.0	5	318	45	359	10	394	0.76	hypothetical	protein
PROKKA_ERR688608_530258_SZAXPI022074-87_bin.59.faa_MHBJICPI_01027	-	147	neuS_final_auto	-	386	0.0038	13.3	1.6	1	1	2.5e-06	0.0044	13.1	1.6	160	245	22	125	2	133	0.69	hypothetical	protein
