PROKKA_ERR688538_31424_SZAXPI021925-43_bin.1.faa_PMCFDADF_00336	0ec5ba36d938ccef88fa81bea38018de	253	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	3	235	2.71E-22	T	12-02-2026	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
PROKKA_ERR688538_31424_SZAXPI021925-43_bin.1.faa_PMCFDADF_00336	0ec5ba36d938ccef88fa81bea38018de	253	CDD	cd02513	CMP-NeuAc_Synthase	3	234	1.83596E-50	T	12-02-2026	-	-	-	-
PROKKA_ERR688538_31424_SZAXPI021925-43_bin.1.faa_PMCFDADF_00336	0ec5ba36d938ccef88fa81bea38018de	253	Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	3	240	1.3E-41	T	12-02-2026	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
PROKKA_ERR688538_31424_SZAXPI021925-43_bin.1.faa_PMCFDADF_00336	0ec5ba36d938ccef88fa81bea38018de	253	Pfam	PF02348	Cytidylyltransferase	8	194	1.2E-6	T	12-02-2026	IPR003329	Acylneuraminate cytidylyltransferase	-	-
PROKKA_ERR688538_31424_SZAXPI021925-43_bin.1.faa_PMCFDADF_00336	0ec5ba36d938ccef88fa81bea38018de	253	PANTHER	PTHR21485	HAD SUPERFAMILY MEMBERS CMAS AND KDSC	3	237	1.7E-24	T	12-02-2026	IPR050793	CMP-NeuNAc synthase	-	-
PROKKA_ERR688613_530323_SZAXPI021952-23_bin.74.faa_MCFOHAEG_01491	f1778f8855da27983b9e79d6ad561497	254	CDD	cd02513	CMP-NeuAc_Synthase	3	234	8.79922E-51	T	12-02-2026	-	-	-	-
PROKKA_ERR688613_530323_SZAXPI021952-23_bin.74.faa_MCFOHAEG_01491	f1778f8855da27983b9e79d6ad561497	254	Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	3	240	3.2E-41	T	12-02-2026	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
PROKKA_ERR688613_530323_SZAXPI021952-23_bin.74.faa_MCFOHAEG_01491	f1778f8855da27983b9e79d6ad561497	254	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	3	236	1.13E-22	T	12-02-2026	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
PROKKA_ERR688613_530323_SZAXPI021952-23_bin.74.faa_MCFOHAEG_01491	f1778f8855da27983b9e79d6ad561497	254	PANTHER	PTHR21485	HAD SUPERFAMILY MEMBERS CMAS AND KDSC	3	238	4.6E-24	T	12-02-2026	IPR050793	CMP-NeuNAc synthase	-	-
PROKKA_ERR688613_530323_SZAXPI021952-23_bin.74.faa_MCFOHAEG_01491	f1778f8855da27983b9e79d6ad561497	254	Pfam	PF02348	Cytidylyltransferase	8	194	7.9E-6	T	12-02-2026	IPR003329	Acylneuraminate cytidylyltransferase	-	-
PROKKA_ERR688519_31233_SZAXPI021947-169_bin.52.faa_JNHFALIE_00205	c6bc027f64339377dcccbdd0dae2fbfe	547	PANTHER	PTHR21485	HAD SUPERFAMILY MEMBERS CMAS AND KDSC	2	221	1.3E-48	T	12-02-2026	IPR050793	CMP-NeuNAc synthase	-	-
PROKKA_ERR688519_31233_SZAXPI021947-169_bin.52.faa_JNHFALIE_00205	c6bc027f64339377dcccbdd0dae2fbfe	547	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	1	224	2.7E-47	T	12-02-2026	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
PROKKA_ERR688519_31233_SZAXPI021947-169_bin.52.faa_JNHFALIE_00205	c6bc027f64339377dcccbdd0dae2fbfe	547	SUPERFAMILY	SSF53756	UDP-Glycosyltransferase/glycogen phosphorylase	376	500	6.73E-6	T	12-02-2026	-	-	-	-
PROKKA_ERR688519_31233_SZAXPI021947-169_bin.52.faa_JNHFALIE_00205	c6bc027f64339377dcccbdd0dae2fbfe	547	Gene3D	G3DSA:3.40.50.11190	-	225	360	1.2E-18	T	12-02-2026	-	-	-	-
PROKKA_ERR688519_31233_SZAXPI021947-169_bin.52.faa_JNHFALIE_00205	c6bc027f64339377dcccbdd0dae2fbfe	547	CDD	cd02513	CMP-NeuAc_Synthase	2	219	1.2351E-78	T	12-02-2026	-	-	-	-
PROKKA_ERR688519_31233_SZAXPI021947-169_bin.52.faa_JNHFALIE_00205	c6bc027f64339377dcccbdd0dae2fbfe	547	Gene3D	G3DSA:3.40.50.2000	Glycogen Phosphorylase B;	361	490	1.7E-24	T	12-02-2026	-	-	-	-
PROKKA_ERR688519_31233_SZAXPI021947-169_bin.52.faa_JNHFALIE_00205	c6bc027f64339377dcccbdd0dae2fbfe	547	Pfam	PF02348	Cytidylyltransferase	4	132	9.5E-21	T	12-02-2026	IPR003329	Acylneuraminate cytidylyltransferase	-	-
